"Son of Sinbad"	0	"One Thousand and One Nights"
"Mahuliena, Golden Maiden"	0	"Grimms' Fairy Tales"
"Tom and Jerry's Giant Adventure"	0	"Jack and the Beanstalk"
"Sinbad: Legend of the Seven Seas"	0	"One Thousand and One Nights"
"Sinbad and the Eye of the Tiger"	0	"One Thousand and One Nights"
"Sinbad of the Seven Seas"	0	"One Thousand and One Nights"
"Sinbad the Sailor"	1935	"One Thousand and One Nights"
"Sinbad the Sailor"	1947	"One Thousand and One Nights"
"Spike"	2008	"Beauty and the Beast"
"The Huntsman: Winter's War"	0	"The Snow Queen"
"Aladdin"	1992	""Disney's Aladdin"@en"
"Aladdin"	1992	"One Thousand and One Nights"
"Hans Christian Andersen"	0	"The Little Mermaid"
"The Thief of Bagdad"	1924	"One Thousand and One Nights"
"Hoodwinked Too! Hood vs. Evil"	0	"Hansel and Gretel"
"Hoodwinked Too! Hood vs. Evil"	0	"Little Red Riding Hood"
"Hansel and Gretel"	2007	"Hansel and Gretel"
"Shrek"	0	""Shrek films"@en"
"TЕ™i oЕ™Г­ЕЎky pro Popelku"	0	"Cinderella"
"The Slipper and the Rose"	0	"Cinderella"
"Sinbad"	1993	"One Thousand and One Nights"
"Die Geschichte vom kleinen Muck"	0	"One Thousand and One Nights"
"Thief of Damascus"	0	"One Thousand and One Nights"
"Elle: A Modern Cinderella Tale"	0	"Cinderella"
"Sleeping Betty"	0	"Sleeping Beauty"
"The Tender Tale of Cinderella Penguin"	0	"Cinderella"
"The Lost Shoe"	0	"Cinderella"
"Adventures of Sinbad the Sailor"	0	"One Thousand and One Nights"
"Hansel & Gretel Get Baked"	0	"Hansel and Gretel"
"Doraemon: Nobita's Dorabian Nights"	0	"One Thousand and One Nights"
"The Golden Blade"	0	"One Thousand and One Nights"
"Giantland"	0	"Jack and the Beanstalk"
"Red Riding Hood"	2003	"Little Red Riding Hood"
"Cinderella"	1955	"Cinderella"
"A Cinderella Story"	0	"Cinderella"
"Aladdin and the King of Thieves"	0	""Disney's Aladdin"@en"
"Aladdin and the King of Thieves"	0	"One Thousand and One Nights"
"Shrek 2"	0	"Puss in Boots"
"Shrek 2"	0	""Shrek films"@en"
"Tangled"	0	"Grimms' Fairy Tales"
"The Return of Jafar"	0	""Disney's Aladdin"@en"
"The Return of Jafar"	0	"One Thousand and One Nights"
"The 10th Kingdom"	0	"Cinderella"
"Fun and Fancy Free"	0	"Jack and the Beanstalk"
"Deadtime Stories"	0	"Little Red Riding Hood"
"Deadtime Stories"	0	"The Story of the Three Bears"
"Donkey Skin"	0	"works by Charles Perrault"
"The Golden Voyage of Sinbad"	0	"One Thousand and One Nights"
"The Adventures of Prince Achmed"	0	"One Thousand and One Nights"
"Barbie in the 12 Dancing Princesses"	0	"Grimms' Fairy Tales"
"Red Riding Hood"	2006	"Little Red Riding Hood"
"Bluebeard"	1901	"works by Charles Perrault"
"The Magic Riddle"	0	"Cinderella"
"Puteri Impian"	0	"Cinderella"
"Fantasia 3"	0	"Grimms' Fairy Tales"
"Fantasia 3"	0	"The Little Mermaid"
"Red: Werewolf Hunter"	0	"Little Red Riding Hood"
"Aladdin and the Wonderful Lamp"	1917	"One Thousand and One Nights"
"Cendrillon au Far West"	0	"Cinderella"
"Jack the Giant Slayer"	0	"Jack and the Beanstalk"
"Puss in Boots: The Three Diablos"	0	"Puss in Boots"
"Puss in Boots: The Three Diablos"	0	""Shrek films"@en"
"The Snow Queen's Revenge"	0	"The Snow Queen"
"The Beautician and the Beast"	0	"Beauty and the Beast"
"The 7 Adventures of Sinbad"	0	"One Thousand and One Nights"
"Ponyo"	0	"The Little Mermaid"
"The Adventures of Tom Thumb and Thumbelina"	0	"Thumbelina"
"The Adventures of Tom Thumb and Thumbelina"	0	"Tom Thumb"
"The 7th Voyage of Sinbad"	0	"One Thousand and One Nights"
"Barbie Thumbelina"	0	"Thumbelina"
"Cindy"	0	"Cinderella"
"Puss in Boots"	1922	"Puss in Boots"
"Puss in Boots"	1961	"Puss in Boots"
"Puss in Boots"	1988	"Puss in Boots"
"Puss in Boots"	1999	"Puss in Boots"
"Puss in Boots"	2011	"Puss in Boots"
"Puss in Boots"	2011	""Shrek films"@en"
"Shrek Forever After"	0	""Shrek films"@en"
"Shrek the Third"	0	""Shrek films"@en"
"The Daydreamer"	0	"The Little Mermaid"
"The Daydreamer"	0	"Thumbelina"
"Thumbelina"	1992	"Thumbelina"
"Thumbelina"	1994	"Thumbelina"
"Jack and the Beanstalk"	1931	"Jack and the Beanstalk"
"Jack and the Beanstalk"	1952	"Jack and the Beanstalk"
"Jack and the Beanstalk"	1974	"Jack and the Beanstalk"
"Gulebakavali"	1955	"One Thousand and One Nights"
"1001 Nights"	0	"One Thousand and One Nights"
"ShГ©hГ©razade"	0	"One Thousand and One Nights"
"The Lost World of Sinbad"	0	"One Thousand and One Nights"
"A Wicked Tale"	0	"Little Red Riding Hood"
"Aladdin"	1992	"One Thousand and One Nights"
"Aladdin and His Magic Lamp"	0	"One Thousand and One Nights"
"Barbie in the Nutcracker"	0	"The Nutcracker and the Mouse King"
"Beauty and the Beast"	1934	"Beauty and the Beast"
"Beauty and the Beast"	1946	"Beauty and the Beast"
"Beauty and the Beast"	1962	"Beauty and the Beast"
"Beauty and the Beast"	1987	"Beauty and the Beast"
"Beauty and the Beast"	1992	"Beauty and the Beast"
"Beauty and the Beast"	2005	"Beauty and the Beast"
"Beauty and the Beast"	2009	"Beauty and the Beast"
"Beauty and the Beast"	2014	"Beauty and the Beast"
"Beauty and the Beast"	2017	"Beauty and the Beast"
