link	new_created	new_id	original_id	source	title	topic_created	topic_id	topic_last
https://www.rbc.ua/rus/news/znachitelnoe-kolichestvo-biletov-ryanair-1521795790.html	1521795986	62059682		ukrnet	Значительное количество билетов Ryanair в Украине будет стоить 10 евро	1521796227	34173814	1521796227
http://www.epravda.com.ua/news/2018/03/23/635270/	1521795928	62059623		ukrnet	Спроба номер 2: Ryanair офіційно заходить в Україну	1521796227	34173814	1521796227
https://www.5.ua/suspilstvo/ukraina-pidpysala-kontrakt-z-ryanair-vzhe-z-zhovtni-2018ho-zapustiat-reisy-z-kyieva-ta-lvova-167037.html	1521795928	62059620		ukrnet	Україна підписала контракт з Ryanair: вже з жовтні 2018-го запустять рейси з Києва та Львова	1521796227	34173814	1521796227
https://112.ua/glavnye-novosti/aeroporty-borispol-i-lvov-podpisali-dogovora-s-ryanair-438646.html	1521795926	62059638		ukrnet	"Аэропорты ""Борисполь"" и ""Львов"" подписали договора с Ryanair"	1521796227	34173814	1521796227
https://nv.ua/ukr/ukraine/events/hirshe-nizh-u-voroha-savchenko-rozpovila-pro-nich-u-sizo-2459753.html	1521796106	62059750		ukrnet	"""Гірше, ніж у ворога"": Савченко розповіла про ніч у СІЗО"	1521796106	34173550	1521796106
http://trueua.info/news/shevchenkivskij-sud-obere-zapobizhnij-zahid-dlya-savchenko	1521796106	62059749		ukrnet	Шевченківський суд обере запобіжний захід для Савченко	1521796106	34173550	1521796106
https://newsone.ua/news/politics/natshvardija-usilila-okhranu-shevchenkovskoho-suda-hde-rassmatrivajut-delo-savchenko.html	1521796048	62059699		ukrnet	Нацгвардия усилила охрану Шевченковского суда, где рассматривают дело Савченко	1521796106	34173550	1521796106
http://naberejna.com.ua/novosti-khersona/19781-sud-obirae-zapobizhnij-zakhid-nadiji-savchenko-live	1521795987	62059671		ukrnet	Суд обирає запобіжний захід Надії Савченко (LIVE)	1521796106	34173550	1521796106
https://gazeta.ua/articles/politics/_u-svetri-z-trizubom-savchenko-privezli-v-sud-onlajn/827719	1521795926	62059640		ukrnet	У светрі з тризубом: Савченко привезли в суд (онлайн)	1521796106	34173550	1521796106
https://www.depo.ua/ukr/politics/savchenko-vipustili-zi-sklyanoyi-klitki-v-sudi-20180323747236	1521795926	62059636		ukrnet	"Савченко випустили зі ""скляної клітки"" в суді"	1521796106	34173550	1521796106
