person,name,related_person
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Daughter
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Charles_César_de_Fay_de_La_Tour-Maubourg
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Juste-Charles_de_la_Tour-Maubourg
http://dbpedia.org/resource/Đàm_Thị_Loan,"(Đàm Thị Nết)"@en,http://dbpedia.org/resource/Hoàng_Văn_Thái
http://dbpedia.org/resource/Gerodimos_Stathas,"(Γεροδήμος Σταθάς)"@en,http://dbpedia.org/resource/Giannis_Stathas
http://dbpedia.org/resource/Eleftherios_Venizelos,"(Ελευθέριος Βενιζέλος)"@en,http://dbpedia.org/resource/Constantine_Mitsotakis
http://dbpedia.org/resource/Lazaros_Kountouriotis,"(Λάζαρος Κουντουριώτης)"@en,http://dbpedia.org/resource/Pantelis_Horn
http://dbpedia.org/resource/Lazaros_Kountouriotis,"(Λάζαρος Κουντουριώτης)"@en,http://dbpedia.org/resource/Dimitris_Horn
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Ghulam_Ishaq_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Humayun_Saifullah_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Salim_Saifullah_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Omar_Ayub_Khan
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Rasool_Bux_Palijo
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Ayaz_Latif_Palijo
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Zarina_Baloch
http://dbpedia.org/resource/Saif_al-Arab_Gaddafi,"(سيف العرب القذافي)"@en,http://dbpedia.org/resource/Muammar_Gaddafi
http://dbpedia.org/resource/Saif_al-Arab_Gaddafi,"(سيف العرب القذافي)"@en,http://dbpedia.org/resource/Safia_Farkash
http://dbpedia.org/resource/Fatima_Jinnah,"(فاطمہ جناح)"@en,http://dbpedia.org/resource/Jinnah_family
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)"@en,http://dbpedia.org/resource/Atta-ur-Rehman_(politician)
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)"@en,http://dbpedia.org/resource/Maulana_Lutf_ur_Rehman
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)harami sala"@en,http://dbpedia.org/resource/Atta-ur-Rehman_(politician)
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)harami sala"@en,http://dbpedia.org/resource/Maulana_Lutf_ur_Rehman
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Agha_Ali
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Inayat_Hussain_Bhatti
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Ali_Abbas_(actor)
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Ali_Sikander
http://dbpedia.org/resource/Girija_Prasad_Koirala,"(गिरीजाप्रसाद कोइराला)"@en,http://dbpedia.org/resource/Koirala_family
http://dbpedia.org/resource/Bishweshwar_Prasad_Koirala,"(विश्वेश्वर प्रसाद कोइराला)"@en,http://dbpedia.org/resource/Koirala_family
http://dbpedia.org/resource/Mehmet_Esat_Bülkat,"1303 (1887)P.-1"@en,http://dbpedia.org/resource/Wehib_Pasha
http://dbpedia.org/resource/Sir_Charles_Thompson,_1st_Baronet,"1st Baronet"@en,http://dbpedia.org/resource/Sir_Henry_Thompson,_3rd_Baronet
http://dbpedia.org/resource/Sir_Charles_Thompson,_1st_Baronet,"1st Baronet"@en,http://dbpedia.org/resource/Sir_Norborne_Thompson,_2nd_Baronet
http://dbpedia.org/resource/Sir_Fitzroy_Maclean,_10th_Baronet,"26th Clan Chief"@en,http://dbpedia.org/resource/Charles_Hector_Fitzroy_MacLean,_Baron_Maclean
http://dbpedia.org/resource/Thomas_Pitt,_2nd_Baron_Camelford,"2nd Baron Camelford"@en,http://dbpedia.org/resource/William_Pitt_the_Younger
http://dbpedia.org/resource/Jean_de_Lattre_de_Tassigny,"50pxJean de Lattre de Tassigny"@en,http://dbpedia.org/resource/Bernard_de_Lattre_de_Tassigny
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Granville_Leveson-Gower,_1st_Marquess_of_Stafford
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Archibald_Hamilton,_9th_Duke_of_Hamilton
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/John_Murray,_4th_Earl_of_Dunmore
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Keith_Stewart
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Susannah_Leveson-Gower,_Marchioness_of_Stafford
http://dbpedia.org/resource/Hasan_Salama,"??? ?????"@en,http://dbpedia.org/resource/Ali_Hassan_Salameh
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Stuyvesant_Wainwright_II
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Loudon_Wainwright_Jr.
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/James_Ross_Snowden
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Carroll_Livingston_Wainwright_I
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Robin_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Jean_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Mel_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Russ_Carnahan
http://dbpedia.org/resource/A._M._Hendropriyono,"A.M. Hendropriyono"@en,http://dbpedia.org/resource/Andika_Perkasa
http://dbpedia.org/resource/Antônio_Carlos_Magalhães_Neto,"ACM Neto"@en,http://dbpedia.org/resource/Antônio_Carlos_Magalhães
http://dbpedia.org/resource/AK_47_Mayanja,"AK 47"@en,http://dbpedia.org/resource/Chameleone
http://dbpedia.org/resource/AK_47_Mayanja,"AK 47"@en,http://dbpedia.org/resource/Pallaso
http://dbpedia.org/resource/Lalu_Prasad_Yadav,"Aalu Prasad Yadav"@en,http://dbpedia.org/resource/Tejashwi_Yadav
http://dbpedia.org/resource/Lalu_Prasad_Yadav,"Aalu Prasad Yadav"@en,http://dbpedia.org/resource/Tej_Pratap_Singh_Yadav
